lack of clarity; wavering; being undecided
bad-tempered; quarrelsome
uncomplimentary
to serve as a good example
having no money
clear
highly decorated
steep slope
health-giving
shirker; someone absent without permission
able to walk around (used of hospital patients)
spacious
to damage or pollute a holy place
complete and thorough
wicked; profane
ridiculous; silly
conventional
done in a hurry
something which teaches you a lesson; beneficial
cut short
make better
surrender; give in to
spoiling something holy
acquits; absolves; removes blame
destitute; poor
1. unenthusiastic; 2. neither hot nor cold
1. turn to bone; 2. become fixed and rigid
prevent or make impossible
hypocritically holy
uproar; noise
improvement
constant criticism
stop; discontinue; cease
getting free/rid of; eliminating (especially demons)
unrehearsed; spontaneous
clumsy person
showy
developing early
give approval to
depravity
friendly
person who makes maps
having no hope; miserable
refugee; emigrant; someone living away from his own country
not intentional
juicy; moist; succulent
push out of a position
one who came before
bloodthirsty; bloody
novice; beginner
friendship
scold strongly
hardship; poverty; misery
convenient; practical
chant; invocation; prayer
assassinate; kill; illegal hanging
obvious; not hidden
dilemma; difficult situation
optimistic; cheerful
found everywhere; omnipresent
lacking in shape
purging of pent-up emotions
put off; prevent
make faster
putting in prison
plots and plans
worked up; in an emotional state
famous; outstanding
mocking
undiluted; total
medicine to combat pain
type of private political meeting
worsen; decline
clear explanation
without stopping
whirlpool; storm in the ocean
good to eat; agreeable
right or privilege
person with knowledge
oily; using excessive flattery
comparable
burning
harmful
praise
just beginning
generous; big-hearted
fence made of posts
having fore-knowledge
to climb
damaged; attacked
chaos; lack of government
procession of vehicles
greedily eaten/consumed
deport from one country back to the home country
tendency; a leaning toward
powerful businessman
a remedy that improves but doesn't cure
a feeling that something might happen
person on whom blame is placed for faults of others
emphasize
